,accuracy,3_f1,20_f1,100_f1,73_f1,80_f1,90_f1,0_f1,1_f1,2_f1,115_f1,130_f1
cooler_pct,1.0,1.0,1.0,1.0,,,,,,,,
valve_pct,0.9795918367346939,,,0.9888143176733781,0.993103448275862,0.9655172413793104,0.9517241379310345,,,,,
pump_leak,0.9954648526077098,,,,,,,0.997946611909651,0.9949238578680203,0.98989898989899,,
acc_pressure,0.9682539682539683,,,0.9554140127388535,,,0.9845201238390093,,,,0.9316770186335404,0.979253112033195
